Username,Track Number,Lap Time
Rikin24,,
,1,
,0 . 14 . 233,
,,
abdi123,,
,1,
,0 . 11 . 473,
,,
stinky,,
,5,
,0 . 19 . 882,

bl0obfish
,4
,0 . 27 . 95

wait wait 
,1
,0 . 7 . 481

skateskate
,4
,0 . 35 . 549

EpiKop
,1
,0 . 5 . 262

Rikin
,4
,0 . 1 . 639

dfssafg
,3
,0 . 7 . 575

sguosh
,3
,0 . 9 . 350

rikin24
,3
,0 . 7 . 567
